Category,Item,Measure,price,Image Link
Zwart,Uitbeenmes,13 cm,"€ 8,95",http://www.manhard.eu/upload/webshop/default_020426019.jpg?uid=0.5844385
Zwart,Uitbeenmes,15 cm,"€ 10,06",http://www.manhard.eu/upload/webshop/default_020426019.jpg?uid=0.5844385
n.v.t.,Kaasmes,12 cm,"€ 15,43",http://www.manhard.eu/upload/webshop/default_020423035.jpg?uid=0.1870996
n.v.t.,Kaasmes,12 cm,"€ 15,43",http://www.manhard.eu/upload/webshop/default_020423035.jpg?uid=0.1870996
n.v.t.,Japans hakmes,17 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423032.jpg?uid=0.4086573
Zwart,Fileermes,16 cm,"€ 7,13",http://www.manhard.eu/upload/webshop/default_020429023.jpg?uid=0.3844263
Blauw,Fileermes,16 cm,"€ 7,13",http://www.manhard.eu/upload/webshop/default_020429023.jpg?uid=0.3844263
Blauw,Fileermes,18 cm,"€ 7,99",http://www.manhard.eu/upload/webshop/default_020429023.jpg?uid=0.3844263
n.v.t.,Zalmmes,25 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423027.jpg?uid=0.4350244
n.v.t.,Zalmmes,25 cm,"€ 17,44",http://www.manhard.eu/upload/webshop/default_020423027.jpg?uid=0.4350244
n.v.t.,Groentemes,15 cm,"€ 16,56",http://www.manhard.eu/upload/webshop/default_020423031.jpg?uid=0.8382227
n.v.t.,Groentemes,15 cm,"€ 16,56",http://www.manhard.eu/upload/webshop/default_020423031.jpg?uid=0.8382227
Zwart,Vleesvork,13 cm,"€ 19,56",http://www.manhard.eu/upload/webshop/default_020420022.jpg?uid=0.9745752
Zwart,Vleesvork,16 cm,"€ 23,99",http://www.manhard.eu/upload/webshop/default_020420022.jpg?uid=0.9745752
Zwart,Vleesvork,21 cm,"€ 33,55",http://www.manhard.eu/upload/webshop/default_020420022.jpg?uid=0.9745752
n.v.t.,Broodmes,20 cm,"€ 16,63",http://www.manhard.eu/upload/webshop/default_020423020.jpg?uid=0.9356958
n.v.t.,Broodmes,20 cm,"€ 16,63",http://www.manhard.eu/upload/webshop/default_020423020.jpg?uid=0.9356958
Zwart,Decormes,11 cm,"€ 26,01",http://www.manhard.eu/upload/webshop/default_020420075.jpg?uid=0.1109278
